Team,League
Club AtlÃ©tico LanÃºs,Argentina
Club AtlÃ©tico Sarmiento,Argentina
Club AtlÃ©tico Talleres,Argentina
Club AtlÃ©tico Temperley,Argentina
Club AtlÃ©tico Tigre,Argentina
Club Atlas,Mexico
Club Brugge KV,Belgium
Club Deportes Temuco,Chile
Club LeÃ³n,Mexico
Club Necaxa,Mexico
Club Olimpo,Argentina
Club Polideportivo Granada 74,Spain
Club Tijuana,Mexico
Clube NÃ¡utico Capibaribe,Brazil
Clube Sport MarÃ­timo,Portugal
Cobh Ramblers,Ireland
Colchester United,England
Colo-Colo,Chile
Colorado Rapids,United States
Columbus Crew SC,United States
Como,Italy
Corinthians,Brazil
Coritiba,Brazil
Cork City,Republic of Ireland
CortuluÃ¡,Colombia
Cosenza,Italy
Coventry City,England
Cracovia,Poland
Crawley Town,England
Crewe Alexandra,England
CriciÃºma,Brazil
Crotone,Italy
Crucero del Norte,Argentina
Cruz Azul,Mexico
Cruzeiro,Brazil
Crystal Palace,England
CS Sedan Ardennes,
Cultural Leonesa,Spain
CuricÃ³ Unido,Chile
Daegu FC,South Korea
Daejeon Citizen,South Korea
Dagenham and Redbridge,England
Dalian YiFang FC,China
Dalkurd FF,Sweden
Darlington,England
DC United,United States
De Graafschap,Netherlands
Defensa y Justicia,Argentina
Denizlispor,Turkey
Deportes Iquique,Chile
Deportes QuindÃ­o,Colombia
Deportes Tolima,Colombia
Deportivo Ã‘ublense,Chile
Deportivo AlavÃ©s,Spain
Deportivo Cali,Mexico
Deportivo de La CoruÃ±a,Spain
Deportivo Pasto,Argentina
Deportivo San Marcos de Arica,Portugal
Deportivo Toluca,Mexico
Derby County,England
Derry City,Republic of Ireland
Dijon FCO,France
Dinamo Moscow,Russia
Dinamo Zagreb,Croatia
Diyarbak?rspor,Turkey
DjurgÃ¥rdens IF,Sweden
Doncaster Rovers,England
Dorados de Sinaloa,Mexico
Drogheda United,Ireland
DSC Arminia Bielefeld,Germany
Dundalk,Republic of Ireland
Dundee FC,Scotland
Dundee United,Scotland
Dunfermline Athletic,Scotland
Dynamo ?eskÃ© Bud?jovice,Czech Republic
Dynamo Kyiv,Ukraine
Eintracht Braunschweig,Germany
Eintracht Frankfurt,Germany
Elche CF,Spain
Empoli,Italy
En Avant de Guingamp,France
Envigado FC,Argentina
Esbjerg fB,Denmark
Eski?ehirspor,Turkey
ESTAC Troyes,France
Estoril Praia,Czech Republic
Estudiantes de La Plata,Argentina
Estudiantes Tecos,Mexico
Ettifaq FC,Saudi Arabia
Everton,England
Excelsior,Netherlands
Excelsior Mouscron,Belgium
Exeter City,England
Extremadura UD,Spain
Falkenbergs FF,Sweden
Falkirk,Scotland
FC Aarau,Switzerland
FC Admira Wacker MÃ¶dling,Austria
FC Anzhi Makhachkala,Russia
FC Arouca,Portugal
FC Augsburg,Germany
FC Barcelona,Spain
FC Barcelona B,Spain
FC Basel 1893,Switzerland
FC Bayern MÃ¼nchen,Germany
FC Carl Zeiss Jena,Germany
FC Cartagena,Spain
FC Dallas,United States
FC Dordrecht,Netherlands
FC Emmen,Netherlands
FC Energie Cottbus,Germany
FC Erzgebirge Aue,Germany
FC Girondins de Bordeaux,France
FC Groningen,Netherlands
FC Gueugnon,France
FC Hansa Rostock,Germany
FC HelsingÃ¸r,Denmark
FC Hradec KrÃ¡lovÃ©,Czech Republic
FC Ingolstadt 04,Germany
FC Istres Ouest Provence,France
FC KÃ¸benhavn,Denmark
FC Khimki,Russia
FC Krasnodar,Russia
FC La Chaux-de-Fonds,Switzerland
FC Lausanne-Sport,Switzerland
FC Libourne-Saint-Seurin,France
FC Lorient,France
FC Lugano,Switzerland
FC Luzern,Switzerland
FC Lyn Oslo,Norway
FC Metz,France
FC Midtjylland,Denmark
FC Molenbeek Brussels,Belgium
FC Moskva,Russia
FC Nantes,France
FC NordsjÃ¦lland,Denmark
FC Orenburg,Russia
FC PaÃ§os de Ferreira,Portugal
FC Penafiel,Portugal
FC Porto,Portugal
FC Pro Vercelli 1892,Italy
FC Red Bull Salzburg,Austria
FC Rostov,Russia
FC Rot-WeiÃŸ Erfurt,Germany
FC Schaffhausen,Germany
FC Schalke 04,Germany
FC Seoul,South Korea
FC Sion,Switzerland
FC Sochaux-MontbÃ©liard,France
FC St. Gallen,Switzerland
FC St. Pauli,Germany
FC Thun,Switzerland
FC Tokyo,Japan
FC Tom Tomsk,Russia
FC Tosno,Russia
FC Twente,Netherlands
FC Ufa,Russia
FC Ural Yekaterinburg,Russia
FC Utrecht,Netherlands
FC Vaduz,Liechtenstein
FC VestsjÃ¦lland,Denmark
FC Volendam,Netherlands
FC WÃ¼rzburger Kickers,Germany
FC Wacker Innsbruck,Austria
FC ZÃ¼rich,Switzerland
FCV Dender EH,Belgium
FenerbahÃ§e SK,Turkey
Feyenoord,Netherlands
Figueirense,Brazil
Finn Harps,Scotland
Fiorentina,Italy
FK ÃšstÃ­ nad Labem,Czech Republic
FK Austria Wien,Austria
FK Baumit Jablonec,Czech Republic
FK BodÃ¸/Glimt,Denmark
FK Haugesund,Norway
FK SIAD Most,Czech Republic
FK Teplice,Czech Republic
Flamengo,Brazil
Fleetwood Town,England
Fluminense,Brazil
Foggia,Italy
Football Bourg En Bresse Peronnas 01,France
Forest Green Rovers,England
Fortaleza,Brazil
Fortaleza CEIF,Brazil
Fortuna DÃ¼sseldorf,Germany
Fortuna Sittard,Netherlands
Fredrikstad FK,Norway
Frosinone,Italy
FSV Frankfurt,Germany
FSV Zwickau,Germany
Fulham,England
GÃ¶ztepe SK,Turkey
GÃ³rnik ??czna,Poland
GÃ³rnik Zabrze,Poland
GAIS,Sweden
Galatasaray SK,Turkey
Gallipoli,Italy
Galway United,Ireland
Gamba Osaka,Japan
Gangwon FC,South Korea
Gaziantepspor,Turkey
GD Chaves,Portugal
Gefle IF,Sweden
GenÃ§lerbirli?i SK,Turkey
Genoa,Italy
Getafe CF,Spain
GFC Ajaccio,France
GIF Sundsvall,Sweden
Gil Vicente FC,Portugal
Gillingham,England
GimnÃ stic de Tarragona,Spain
Gimnasia y Esgrima La Plata,Argentina
Girona FC,Spain
GKS Be?chatÃ³w,Poland
Go Ahead Eagles,Netherlands
Godoy Cruz,Argentina
GoiÃ¡s,Brazil
Gold Coast United,Australia
GrÃªmio,Brazil
GrÃªmio Barueri,Brazil
Granada CF,Spain
Grasshopper Club ZÃ¼rich,Switzerland
Grenoble Foot 38,France
Gretna,Ireland
Grimsby Town,England
Grosseto,Italy
Guadalajara,Mexico
Guangzhou Evergrande Taobao FC,China
Guangzhou R&F; FC,China
Guarani,Brazil
Gubbio,Italy
Guizhou Hengfeng FC,China
GwangJu FC,South Korea
Gyeongnam FC,South Korea
HÃ¸nefoss BK,Norway
HÃ©rcules CF,Spain
Hacettepe SK,Turkey
Hajer,Saudi Arabia
Hallescher FC,Germany
Halmstads BK,
Hamarkameratene,Denmark
Hamburger SV,Germany
Hamilton Academical FC,Scotland
Hammarby IF,Sweden
Hannover 96,Germany
Hartlepool United,England
HB KÃ¸ge ,Denmark
Heart of Midlothian,Scotland
Hebei China Fortune FC,China
Hellas Verona,Italy
Helsingborgs IF,Denmark
Henan Jianye FC,China
Heracles Almelo,Netherlands
Hereford,England
Hertha BSC,Germany
Hibernian,Scotland
HJK Helsinki,Finland
Hobro IK,Denmark
Hokkaido Consadole Sapporo,Japan
Holstein Kiel,Germany
Houston Dynamo,United States
Huddersfield Town,England
Hull City,England
IF Brommapojkarna,Sweden
IF Elfsborg,Sweden
IFK GÃ¶teborg,Sweden
IFK NorrkÃ¶ping,Norway
IK Sirius,Sweden
IK Start,Norway
Incheon United FC,South Korea
Independiente,Argentina
Independiente MedellÃ­n,Colombia
Independiente Santa Fe,Mexico
Inter,Italy
Internacional,
Inverness Caledonian Thistle,Scotland
Ipatinga,Brazil
Ipswich Town,England
ItagÃ¼Ã­ Leones FC,Colombia
JÃ¶nkÃ¶pings SÃ¶dra IF,Sweden
Jagiellonia Bia?ystok,Poland
Jaguares de CÃ³rdoba,Colombia
Jaguares de Chiapas,Mexico
JÃºbilo Iwata,Japan
Jeju United FC,South Korea
Jeonbuk Hyundai Motors,South Korea
Jeonnam Dragons,South Korea
Jiangsu Suning FC,China
Joinville,Brazil
Junior FC,Brazil
Juventude,Brazil
Juventus,Italy
KAA Gent,Belgium
Kaizer Chiefs,South Africa
Kalmar FF,Sweden
Kardemir KarabÃ¼kspor,Turkey
Karlsruher SC,Germany
KAS Eupen,Belgium
Kashima Antlers,Japan
Kashiwa Reysol,Japan
Kasimpa?a SK,Turkey
Kawasaki Frontale,Japan
Kayseri Erciyesspor,Turkey
Kayserispor,Turkey
KFC Uerdingen 05,Germany
Kickers Offenbach,Germany
Kilmarnock,Scotland
Kocaelispor,Turkey
Kongsvinger IL Toppfotball,Norway
Korona Kielce,Poland
KRC Genk,Belgium
Kristiansund BK,Norway
Krylya Sovetov Samara,Russia
KSK Beveren,Belgium
KSV 1919,Austria
KSV Cercle Brugge,Belgium
KSV Roeselare,Belgium
Kuban Krasnodar,Russia
KV Kortrijk,Belgium
KV Mechelen,Belgium
KV Oostende,Belgium
KVC Westerlo,Belgium
La Berrichonne de ChÃ¢teauroux,France
La Equidad,Mexico
LA Galaxy,United States
LASK Linz,Austria
Latina,Italy
Lazio,Italy
Le Havre AC,France
Le Mans FC,France
Lecce,Italy
Lech Pozna?,Poland
Lechia Gda?sk,Poland
Leeds United,England
Legia Warszawa,Poland
Leicester City,England
LeixÃµes SC,Portugal
Leones Negros de la UdeG,Mexico
Levante UD,Spain
Leyton Orient,England
Liebherr GAK,Austria
Lierse SK,Belgium
LillestrÃ¸m SK,Norway
Limerick FC,Republic of Ireland
Lincoln City,England
Liverpool,England
Livingston FC,Scotland
Livorno,Italy
Ljungskile SK,Sweden
LKS Lodz,Poland
Lobos BUAP,Mexico
Lokomotiv Moscow,Russia
Longford Town,Ireland
Lorca FC,Mexico
Los Angeles FC,United States
LOSC Lille,France
Luton Town,England
Lyngby BK,Denmark
MÃ¡laga CF,Spain
Macclesfield Town,England
MalmÃ¶ FF,Sweden
Mamelodi Sundowns FC,South Africa
Manchester City,England
Manchester United,England
Manisaspor,Turkey
Mansfield Town,England
Mantova,Italy
Medipol Ba?ak?ehir FK,Turkey
Melbourne City FC,Australia
Melbourne Victory,Australia
Mersin ?dman Yurdu,Turkey
Messina,Italy
Middlesbrough,England
Mied? Legnica,Poland
Milan,Italy
Millonarios FC,Colombia
Millwall,England
Milton Keynes Dons,England
Minnesota United FC,United States
MjÃ¸ndalen IF,Denmark
MjÃ¤llby AIF,Sweden
MKE AnkaragÃ¼cÃ¼,Turkey
MladÃ¡ Boleslav,Czech Republic
Modena,Italy
Molde FK,Norway
Monarcas Morelia,Mexico
Monterrey,Mexico
Montpellier HSC,France
Montreal Impact,United States
Mordovia Saransk,Russia
Morecambe,England
Moreirense FC,Portugal
Motherwell,Scotland
MSV Duisburg,Germany
NÃ®mes Olympique,France
NAC Breda,Netherlands
Nagoya Grampus,Japan
Najran SC,Saudi Arabia
Napoli,Italy
Naval 1Â° de Maio,Portugal
NEC Nijmegen,Netherlands
NeuchÃ¢tel Xamax,Switzerland
New England Revolution,United States
New York City FC,United States
New York Red Bulls,United States
Newcastle Jets,Australia
Newcastle United,England
Newell's Old Boys,Argentina
Newport County,England
Nocera Inferiore,Italy
North Queensland Fury FC,Australia
Northampton Town,England
Norwich City,England
Nottingham Forest,England
Notts County,England
Novara,Italy
Nueva Chicago,Argentina
Odds BK,Norway
Odense Boldklub,Denmark
Odra Wodzis?aw,Poland
OGC Nice,France
Ohod Club,Saudi Arabia
Oldham Athletic,England
Olympiacos CFP,Greece
Olympique de Marseille,France
Olympique Lyonnais,France
Omiya Ardija,Japan
Once Caldas,Colombia
Orlando City SC,United States
Orlando Pirates,United States
Os Belenenses,Portugal
Osmanl?spor,Turkey
Oud-Heverlee Leuven,Belgium
Oxford United,England
Pachuca,Mexico
Padova,Italy
Palermo,Italy
Palmeiras,Brazil
Panathinaikos FC,Greece
PAOK,Greece
ParanÃ¡,Brazil
Paris FC,France
Paris Saint-Germain,France
Parma,Italy
Partick Thistle FC,Scotland
Patriotas BoyacÃ¡ FC,Colombia
Patronato,Argentina
PEC Zwolle,Netherlands
Perth Glory,Australia
Perugia,Italy
Pescara,Italy
Peterborough United,England
PFC CSKA Moscow,Russia
Philadelphia Union,United States
Piacenza,Italy
Piast Gliwice,Poland
Pisa,Italy
Plymouth Argyle,England
Podbeskidzie Bielsko-Bia?a,Poland
Pogo? Szczecin,Poland
Pohang Steelers,South Korea
Polonia Bytom,Poland
Polonia Warszawa,Poland
Ponte Preta,Brazil
Port Vale,England
Portimonense SC,Portugal
Portland Timbers,United States
Portogruaro Calcio ASD,Portugal
Portsmouth,England
Portuguesa de Desportos,Brazil
Preston North End,England
PSV,Netherlands
Puebla FC,Mexico
Queens Park Rangers,England
QuerÃ©taro,Spain
Quilmes AtlÃ©tico Club,Mexico
Racing Club,Spain
Racing Club de Lens,France
Racing de Ferrol,Portugal
Racing Santander,Spain
RAEC Mons,Belgium
Randers FC,Denmark
Rangers de Talca,Chile
Rangers FC,Scotland
Ranheim Fotball,Norway
Ravenna,Italy
Rayo Vallecano,Spain
RB Leipzig,Germany
RC Celta,Spain
RC Recreativo de Huelva,Spain
RC Strasbourg Alsace,France
RCD Espanyol,Spain
RCD Mallorca,Spain
Reading,England
Real Betis,Spain
Real JaÃ©n CF,Spain
Real Madrid,Spain
Real Madrid Castilla,Spain
Real Murcia Club de FÃºtbol,Spain
Real Oviedo,Spain
Real Salt Lake,United States
Real Sociedad,Spain
Real Sporting de GijÃ³n,Spain
Real UniÃ³n Club IrÃºn,Spain
Real Valladolid CF,Spain
Real Zaragoza,Spain
Red Star FC,France
Rimini,Italy
Rio Ave FC,Portugal
Rionegro Ãguilas,Brazil
River Plate,Argentina
RKC Waalwijk,Netherlands
Rochdale,England
Roda JC Kerkrade,Netherlands
Roma,Italy
Rosario Central,Argentina
Rosenborg BK,Norway
Ross County FC,Scotland
Rotherham United,England
Rot-WeiÃŸ Ahlen,Germany
Rot-WeiÃŸ Essen,Germany
Rot-WeiÃŸ Oberhausen,Germany
Royal Antwerp FC,Belgium
Royal Excel Mouscron,Belgium
RSC Anderlecht,Belgium
Rubin Kazan,Russia
Ruch ChorzÃ³w,Poland
SÃ¸nderjyskE,Denmark
SÃ£o Caetano,Brazil
SÃ£o Paulo,Brazil
Sagan Tosu,Japan
Sakaryaspor,Turkey
Sampdoria,Italy
San Jose Earthquakes,United States
San Lorenzo de Almagro,Argentina
San Luis,Mexico
San Luis de Quillota,Chile
San MartÃ­n de San Juan,Argentina
San Martin de TucumÃ¡n,Argentina
Sandecja Nowy S?cz,Poland
Sandefjord Fotball,Norway
Sandnes Ulf,Norway
Sanfrecce Hiroshima,Japan
Sangju Sangmu FC,South Korea
Santa Clara,Portugal
Santa Cruz,Brazil
Santiago Wanderers,Chile
Santo AndrÃ©,Brazil
Santos,Brazil
Santos Laguna,Mexico
Sarpsborg 08 FF,Norway
Sassuolo,Italy
Saturn Ramenskoye,Japan
SC Beira Mar,Portugal
SC Braga,Portugal
SC Cambuur,Netherlands
SC Fortuna KÃ¶ln,Germany
SC Freiburg,Germany
SC Heerenveen,Netherlands
SC Olhanense,Brazil
SC Paderborn 07,Germany
SC PreuÃŸen MÃ¼nster,Germany
SC Wiener Neustadt,Austria
SCR Altach,Austria
Scunthorpe United,England
SD Eibar,Spain
SD Huesca,Spain
SD Ponferradina,Spain
Seattle Sounders FC,United States
Seongnam FC,South Korea
Servette FC,Switzerland
Sevilla AtlÃ©tico,Spain
Sevilla FC,Spain
SG Dynamo Dresden,Germany
SG Sonnenhof GroÃŸaspach,Germany
Shakhtar Donetsk,Ukraine
Shamrock Rovers,Republic of Ireland
Shandong Luneng TaiShan FC,China
Shanghai Greenland Shenhua FC,China
Shanghai SIPG FC,China
Sheffield United,England
Sheffield Wednesday,England
Shelbourne FC,Ireland
Shimizu S-Pulse,Japan
Shonan Bellmare,Japan
Shrewsbury,England
Sibir Novosibirsk,Russia
Siena,Italy
Sigma Olomouc,Czech Republic
Silkeborg IF,Denmark
Sint-Truidense VV,Belgium
Sivasspor,Turkey
SK Austria KÃ¤rnten,Austria
SK Brann,Norway
SK Kladno,Czech Republic
SK Rapid Wien,Austria
SK Slavia Praha,Czech Republic
SK Sturm Graz,Austria
SKA Khabarovsk,Russia
SKN St. PÃ¶lten,Austria
SL Benfica,Portugal
Sligo Rovers,Republic of Ireland
Slovan Liberec,
Sogndal Fotball,Norway
Southampton,England
Southend United,England
SPAL,Italy
Sparta Praha,Czech Republic
Sparta Rotterdam,Netherlands
Spartak Moscow,Russia
Spartak Nalchik,Russia
Spezia,Italy
Sport Club do Recife,Brazil
Sporting Club de Bastia,
Sporting CP,Portugal
Sporting de Charleroi,Belgium
Sporting Fingal,Ireland
Sporting Kansas City,United States
Sporting Lokeren,Belgium
SpVgg Greuther FÃ¼rth,Germany
SpVgg Unterhaching,Germany
SS Virtus Lanciano,Italy
St. Johnstone FC,Scotland
St. Mirren,Scotland
St. Patrick's Athletic,Republic of Ireland
StabÃ¦k Fotball,Noway
Stade Brestois 29,France
Stade de Reims,France
Stade Lavallois Mayenne FC,France
Stade Malherbe Caen,France
Stade Rennais FC,France
Standard de LiÃ¨ge,Belgium
Stevenage,England
Stockport County,England
Stoke City,England
StrÃ¸msgodset IF,Norway
Sunderland,England
Suwon FC,South Korea
Suwon Samsung Bluewings,South Korea
SV Darmstadt 98,Germany
SV GrÃ¶dig,Austria
SV Mattersburg,Austria
SV Meppen,Germany
SV Ried,Austria
SV Sandhausen,Germany
SV Wehen Wiesbaden,Germany
SV Werder Bremen,Germany
SV Werder Bremen II,Germany
SV Zulte-Waregem,Belgium
Swansea City,England
Swindon Town,England
Sydney FC,Australia
Syrianska,Sweden
Terek Grozny,Russia
Ternana,Portugal
Tescoma ZlÃ­n,Czech Republic
Tianjin Quanjian FC,China
Tianjin TEDA FC,China
Tiburones Rojos de Veracruz,Mexico
Tigres FC,Mexico
Tigres U.A.N.L.,Mexico
Torino,Italy
Toronto FC,United States
Torpedo Moscow,Russia
Torquay United,England
Tottenham Hotspur,England
Toulouse Football Club,France
Tours FC,France
Trabzonspor,Turkey
Tranmere Rovers,England
Trapani,Italy
Trelleborgs FF,Sweden
Treviso,Italy
Triestina,Italy
TromsÃ¸ IL,Norway
TSG 1899 Hoffenheim,Germany
TSV 1860 MÃ¼nchen,Germany
TSV Hartberg,Austria
TuS Koblenz,Germany
U.N.A.M.,Mexico
UC AlbinoLeffe,Italy
UCAM Murcia CF,Spain
UCD AFC,Ireland
UD AlmerÃ­a,Portugal
UD Las Palmas,Spain
UD Salamanca,Spain
UD Vecindario,Spain
Udinese,Italy
UE Llagostera,Spain
Ulsan Hyundai FC,South Korea
UniÃ£o da Madeira,Portugal
UniÃ£o de Leiria,Portugal
UniÃ³n de Santa Fe,Argentina
UniÃ³n EspaÃ±ola,Argentina
UniÃ³n La Calera,Chile
UniautÃ³noma FC,Colombia
Universidad CatÃ³lica,Argentina
Universidad de Chile,Chile
Urawa Red Diamonds,Japan
Urbs Reggina 1914 ,Italy
US Boulogne Cote D'Opale,France
US CrÃ©teil-Lusitanos,France
US Cremonese,Italy
US OrlÃ©ans Loiret Football,France
US Quevilly Rouen MÃ©tropole,France
US Salernitana 1919,Italy
VÃ¥lerenga Fotball,Norway
VÃ©lez Sarsfield,Argentina
Valencia CF,Spain
Valenciennes FC,France
Vancouver Whitecaps FC,United States
Vannes OC,France
Varese,Italy
Vasco da Gama,Brazil
Vegalta Sendai,Japan
Vejle Boldklub,Denmark
Vendsyssel FF,Denmark
Venezia FC,Italy
Ventforet Kofu,Japan
VfB Stuttgart,Germany
VfL Bochum 1848,Germany
VfL OsnabrÃ¼ck,Germany
VfL Sportfreunde Lotte,Germany
VfL Wolfsburg,Germany
VfR Aalen,Germany
Viborg FF,Norway
Vicenza,Italy
Viking FK,Norway
Viktoria ÂŽiÂžkov,Czech Republic
Viktoria Plze?,Czech Republic
Villarreal CF,Spain
Villarreal CF B,Spain
Virtus Entella,Italy
Vissel Kobe,Japan
VitÃ³ria,Brazil
VitÃ³ria de SetÃºbal,Portugal
VitÃ³ria GuimarÃ£es,Portugal
Vitesse,Netherlands
Volga Nizhny Novgorod,Russia
V-Varen Nagasaki,Japan
VVV-Venlo,Netherlands
Waasland-Beveren,Belgium
Wacker Burghausen,Germany
Walsall,England
Waterford FC,Republic of Ireland
Watford,England
Wellington Phoenix,New Zealand
West Bromwich Albion,England
West Ham United,England
Western Sydney Wanderers,Australia
Wexford Youths,England
Widzew ?Ã³d?,Poland
Wigan Athletic,England
Willem II,Netherlands
Wis?a KrakÃ³w,Poland
Wis?a P?ock,Poland
Wolfsberger AC,Austria
Wolverhampton Wanderers,England
Wrexham,England
Wycombe Wanderers,England
Xerez Club Deportivo,Spain
Yeni Malatyaspor,Turkey
Yeovil Town,England
Yokohama F. Marinos,Japan
York City,England
Zag??bie Lubin,Poland
Zag??bie Sosnowiec,Poland
Zawisza Bydgoszcz,Poland
Zenit St. Petersburg,Russia
